date,bdi_value,bdi_open,bdi_high,bdi_low,bdi_volume,bdi_change_pct,daily_change_pct,rolling_7d_avg,rolling_30d_avg,rolling_90d_avg,above_long_avg,is_spike,is_drop,is_outlier,year,month,quarter,weekday,source,data_type,granularity
2021-03-03,1763.0,1763.0,1763.0,1763.0,0.0,5.38,5.3796,1699.71,1553.73,1406.43,True,True,False,False,2021,3,1,Wednesday,investing_bdi_csv,freight_index,daily
2021-03-04,1779.0,1779.0,1779.0,1779.0,0.0,0.91,0.9075,1707.14,1551.8,1411.2,True,False,False,False,2021,3,1,Thursday,investing_bdi_csv,freight_index,daily
2021-03-05,1829.0,1829.0,1829.0,1829.0,0.0,2.81,2.8106,1724.29,1552.43,1416.57,True,False,False,False,2021,3,1,Friday,investing_bdi_csv,freight_index,daily
2021-03-08,1853.0,1853.0,1853.0,1853.0,0.0,1.31,1.3122,1746.14,1555.37,1421.59,True,False,False,False,2021,3,1,Monday,investing_bdi_csv,freight_index,daily
2021-03-09,1901.0,1901.0,1901.0,1901.0,0.0,2.59,2.5904,1778.43,1563.43,1426.99,True,False,False,False,2021,3,1,Tuesday,investing_bdi_csv,freight_index,daily
2021-03-10,1980.0,1980.0,1980.0,1980.0,0.0,4.16,4.1557,1825.43,1578.1,1433.41,True,False,False,False,2021,3,1,Wednesday,investing_bdi_csv,freight_index,daily
2021-03-11,1970.0,1970.0,1970.0,1970.0,0.0,-0.51,-0.5051,1867.86,1594.77,1439.6,True,False,False,False,2021,3,1,Thursday,investing_bdi_csv,freight_index,daily
2021-03-12,1960.0,1960.0,1960.0,1960.0,0.0,-0.51,-0.5076,1896.0,1611.7,1446.0,True,False,False,False,2021,3,1,Friday,investing_bdi_csv,freight_index,daily
2021-03-15,1983.0,1983.0,1983.0,1983.0,0.0,1.17,1.1735,1925.14,1629.67,1453.62,True,False,False,False,2021,3,1,Monday,investing_bdi_csv,freight_index,daily
2021-03-16,2017.0,2017.0,2017.0,2017.0,0.0,1.71,1.7146,1952.0,1650.9,1461.78,True,False,False,False,2021,3,1,Tuesday,investing_bdi_csv,freight_index,daily
2021-03-17,2105.0,2105.0,2105.0,2105.0,0.0,4.36,4.3629,1988.0,1676.83,1470.9,True,False,False,False,2021,3,1,Wednesday,investing_bdi_csv,freight_index,daily
2021-03-18,2215.0,2215.0,2215.0,2215.0,0.0,5.23,5.2257,2032.86,1706.43,1481.48,True,True,False,False,2021,3,1,Thursday,investing_bdi_csv,freight_index,daily
2021-03-19,2281.0,2281.0,2281.0,2281.0,0.0,2.98,2.9797,2075.86,1738.03,1493.22,True,False,False,False,2021,3,1,Friday,investing_bdi_csv,freight_index,daily
2021-03-22,2319.0,2319.0,2319.0,2319.0,0.0,1.67,1.6659,2125.71,1771.43,1505.72,True,False,False,False,2021,3,1,Monday,investing_bdi_csv,freight_index,daily
2021-03-23,2271.0,2271.0,2271.0,2271.0,0.0,-2.07,-2.0699,2170.14,1803.6,1517.67,True,False,False,False,2021,3,1,Tuesday,investing_bdi_csv,freight_index,daily
2021-03-24,2194.0,2194.0,2194.0,2194.0,0.0,-3.39,-3.3906,2200.29,1833.3,1528.63,True,False,False,False,2021,3,1,Wednesday,investing_bdi_csv,freight_index,daily
2021-03-25,2172.0,2172.0,2172.0,2172.0,0.0,-1.0,-1.0027,2222.43,1861.93,1539.43,True,False,False,False,2021,3,1,Thursday,investing_bdi_csv,freight_index,daily
2021-03-26,2178.0,2178.0,2178.0,2178.0,0.0,0.28,0.2762,2232.86,1889.9,1550.96,True,False,False,False,2021,3,1,Friday,investing_bdi_csv,freight_index,daily
2021-03-29,2162.0,2162.0,2162.0,2162.0,0.0,-0.73,-0.7346,2225.29,1916.5,1562.49,True,False,False,False,2021,3,1,Monday,investing_bdi_csv,freight_index,daily
2021-03-30,2103.0,2103.0,2103.0,2103.0,0.0,-2.73,-2.729,2199.86,1936.77,1573.51,True,False,False,False,2021,3,1,Tuesday,investing_bdi_csv,freight_index,daily
2021-03-31,2046.0,2046.0,2046.0,2046.0,0.0,-2.71,-2.7104,2160.86,1946.43,1583.89,True,False,False,False,2021,3,1,Wednesday,investing_bdi_csv,freight_index,daily
2021-04-01,2072.0,2072.0,2072.0,2072.0,0.0,1.27,1.2708,2132.43,1956.5,1594.52,True,False,False,False,2021,4,2,Thursday,investing_bdi_csv,freight_index,daily
2021-04-06,2092.0,2092.0,2092.0,2092.0,0.0,0.97,0.9653,2117.86,1969.63,1605.17,True,False,False,False,2021,4,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-04-07,2127.0,2127.0,2127.0,2127.0,0.0,1.67,1.673,2111.43,1983.57,1616.04,True,False,False,False,2021,4,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-04-08,2088.0,2088.0,2088.0,2088.0,0.0,-1.83,-1.8336,2098.57,1995.6,1626.26,True,False,False,False,2021,4,2,Thursday,investing_bdi_csv,freight_index,daily
2021-04-09,2085.0,2085.0,2085.0,2085.0,0.0,-0.14,-0.1437,2087.57,2008.13,1636.33,True,False,False,False,2021,4,2,Friday,investing_bdi_csv,freight_index,daily
2021-04-12,2145.0,2145.0,2145.0,2145.0,0.0,2.88,2.8777,2093.57,2022.97,1646.87,True,False,False,False,2021,4,2,Monday,investing_bdi_csv,freight_index,daily
2021-04-13,2140.0,2140.0,2140.0,2140.0,0.0,-0.23,-0.2331,2107.0,2038.47,1657.1,True,False,False,False,2021,4,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-04-14,2178.0,2178.0,2178.0,2178.0,0.0,1.78,1.7757,2122.14,2056.03,1667.63,True,False,False,False,2021,4,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-04-15,2323.0,2323.0,2323.0,2323.0,0.0,6.66,6.6575,2155.14,2077.7,1679.81,True,True,False,False,2021,4,2,Thursday,investing_bdi_csv,freight_index,daily
2021-04-16,2385.0,2385.0,2385.0,2385.0,0.0,2.67,2.669,2192.0,2098.43,1692.86,True,False,False,False,2021,4,2,Friday,investing_bdi_csv,freight_index,daily
2021-04-19,2432.0,2432.0,2432.0,2432.0,0.0,1.97,1.9706,2241.14,2120.2,1706.53,True,False,False,False,2021,4,2,Monday,investing_bdi_csv,freight_index,daily
2021-04-20,2472.0,2472.0,2472.0,2472.0,0.0,1.64,1.6447,2296.43,2141.63,1720.79,True,False,False,False,2021,4,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-04-21,2710.0,2710.0,2710.0,2710.0,0.0,9.63,9.6278,2377.14,2170.2,1737.6,True,True,False,False,2021,4,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-04-22,2750.0,2750.0,2750.0,2750.0,0.0,1.48,1.476,2464.29,2198.5,1755.24,True,False,False,False,2021,4,2,Thursday,investing_bdi_csv,freight_index,daily
2021-04-23,2788.0,2788.0,2788.0,2788.0,0.0,1.38,1.3818,2551.43,2225.43,1773.77,True,False,False,False,2021,4,2,Friday,investing_bdi_csv,freight_index,daily
2021-04-26,2808.0,2808.0,2808.0,2808.0,0.0,0.72,0.7174,2620.71,2253.37,1792.5,True,False,False,False,2021,4,2,Monday,investing_bdi_csv,freight_index,daily
2021-04-27,2889.0,2889.0,2889.0,2889.0,0.0,2.88,2.8846,2692.71,2284.33,1811.7,True,False,False,False,2021,4,2,Tuesday,investing_bdi_csv,freight_index,daily
2021-04-28,2957.0,2957.0,2957.0,2957.0,0.0,2.35,2.3538,2767.71,2316.8,1831.1,True,False,False,False,2021,4,2,Wednesday,investing_bdi_csv,freight_index,daily
2021-04-29,3007.0,3007.0,3007.0,3007.0,0.0,1.69,1.6909,2844.14,2349.8,1850.79,True,False,False,False,2021,4,2,Thursday,investing_bdi_csv,freight_index,daily
2021-04-30,3053.0,3053.0,3053.0,3053.0,0.0,1.53,1.5298,2893.14,2381.4,1870.57,True,False,False,False,2021,4,2,Friday,investing_bdi_csv,freight_index,daily
2021-05-04,3157.0,3157.0,3157.0,3157.0,0.0,3.41,3.4065,2951.29,2412.8,1891.24,True,False,False,False,2021,5,2,Tuesday,investing_bdi_csv,freight_index,daily
