event_time_utc,capture_utc,message_type,mmsi,ship_name,imo,call_sign,latitude,longitude,sog_knots,speed_category,is_moving,cog_degrees,true_heading,navigational_status,nav_status_name,destination,eta,vessel_type,vessel_type_name,vessel_category,port_guess,source,data_type,granularity,year,month,day,hour
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,372755000,NAVIOS BONAVIS,,,1.14588,103.76917,8.2,Transit,True,53.0,55.0,4.0,Constrained by draught,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563074570,VISION 225,,,1.26289,103.82861,0.0,Stationary,False,228.6,511.0,15.0,Not defined,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563085690,PILOT 14,,,1.2568,103.84573,13.2,Cruising,True,99.1,511.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,372724000,ONE HAMBURG,,,1.27263,103.76279,0.0,Stationary,False,175.0,300.0,5.0,Moored,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,565944000,KOTA LAMBANG,,,1.2638,103.93098,6.9,Transit,True,312.8,301.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,ShipStaticData,564058426,NOBLE VALOUR,8407908.0,9V7163,1.23396,103.78488,,Unknown,False,,,,Not reported,,"{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}",52.0,Tug,Tug / Support,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,563227800,SYUKUR,,,1.25838,103.82303,0.0,Stationary,False,360.0,511.0,2.0,Not under command,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,Interrogation,563235200,EVER VERA,,,1.25761,103.77464,,Unknown,False,,,,Not reported,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,352005017,GAS INFINITY,,,1.19826,103.5869,12.0,Cruising,True,288.3,290.0,0.0,Under way using engine,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
2026-04-04 21:16:19.891862+00:00,2026-04-04 21:16:19.891862+00:00,PositionReport,538011520,POLYAIGOS,,,1.25321,103.91864,0.0,Stationary,False,327.9,260.0,1.0,At anchor,,None,,Unknown,Unknown,Singapore,aisstream,vessel_movement,event,2026,4,4,21
