year,period,reporter_code,reporter_iso,reporter_country,flow_code,flow_direction,partner_code,partner_iso,partner_country,hs_code,commodity,aggregation_level,is_leaf,transport_mode_code,transport_mode,qty_unit_code,quantity,qty_estimated,net_weight_kg,weight_estimated,cif_value_usd,fob_value_usd,trade_value_usd,is_outlier,trade_balance_usd,decade,source,data_type,granularity,trade_value_trillion,yoy_growth_pct
2015,2015,108,BDI,Burundi,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,16118.0,16118.0,False,-17416035.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,112,BLR,Belarus,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,68937800.0,,68937800.0,False,-61606800.0,2010,un_comtrade,trade_flow,annual,0.0001,
2015,2015,112,BLR,Belarus,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,7331000.0,7331000.0,False,-61606800.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,116,KHM,Cambodia,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,20050438.0,,20050438.0,False,265592872.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,116,KHM,Cambodia,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,285643310.0,285643310.0,False,265592872.0,2010,un_comtrade,trade_flow,annual,0.0003,
2015,2015,120,CMR,Cameroon,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,485436463.0,,485436463.0,False,-478550587.0,2010,un_comtrade,trade_flow,annual,0.0005,
2015,2015,120,CMR,Cameroon,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,6885876.0,6885876.0,False,-478550587.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,4,AFG,Afghanistan,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,3279440.0,3279440.0,False,3279440.0,2010,un_comtrade,trade_flow,annual,0.0,7161.66
2015,2015,8,ALB,Albania,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,710412.0,,710412.0,False,93121930.0,2010,un_comtrade,trade_flow,annual,0.0,-99.26
2015,2015,8,ALB,Albania,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,93832342.0,93832342.0,False,93121930.0,2010,un_comtrade,trade_flow,annual,0.0001,162566.15
2015,2015,12,DZA,Algeria,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,21545458.0,,21545458.0,False,-19809575.0,2010,un_comtrade,trade_flow,annual,0.0,-99.39
2015,2015,12,DZA,Algeria,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,1735883.0,1735883.0,False,-19809575.0,2010,un_comtrade,trade_flow,annual,0.0,40448.54
2015,2015,20,AND,Andorra,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,13728.545,,13728.54,False,-4766.390000000001,2010,un_comtrade,trade_flow,annual,0.0,-96.91
2015,2015,20,AND,Andorra,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,8962.149,8962.15,False,-4766.390000000001,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,24,AGO,Angola,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,6696221.09,5924205.43,6696221.09,False,-5970771.85,2010,un_comtrade,trade_flow,annual,0.0,-70.3
2015,2015,24,AGO,Angola,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,725449.24,725449.24,False,-5970771.85,2010,un_comtrade,trade_flow,annual,0.0,-95.77
2015,2015,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,3949.0,,3949.0,False,-3949.0,2010,un_comtrade,trade_flow,annual,0.0,-99.78
2015,2015,31,AZE,Azerbaijan,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,2650149.08,,2650149.08,False,3779684.5300000003,2010,un_comtrade,trade_flow,annual,0.0,-99.23
2015,2015,31,AZE,Azerbaijan,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,6429833.61,6429833.61,False,3779684.5300000003,2010,un_comtrade,trade_flow,annual,0.0,10395.22
2015,2015,32,ARG,Argentina,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,515085758.83,405439490.07,515085758.83,False,197902700.93,2010,un_comtrade,trade_flow,annual,0.0005,3887.92
2015,2015,32,ARG,Argentina,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,712988459.76,712988459.76,False,197902700.93,2010,un_comtrade,trade_flow,annual,0.0007,-85.28
2015,2015,36,AUS,Australia,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,519721677.0,519721677.0,False,47322817657.0,2010,un_comtrade,trade_flow,annual,0.0005,218.89
2015,2015,36,AUS,Australia,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,47842539334.0,47842539334.0,True,47322817657.0,2010,un_comtrade,trade_flow,annual,0.0478,644.33
2015,2015,40,AUT,Austria,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,762814576.048,,762814576.05,False,-730232687.14,2010,un_comtrade,trade_flow,annual,0.0008,50.39
2015,2015,40,AUT,Austria,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,,32581888.914,32581888.91,False,-730232687.14,2010,un_comtrade,trade_flow,annual,0.0,-92.05
2015,2015,44,BHS,Bahamas,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,19586.0,,19586.0,False,-19586.0,2010,un_comtrade,trade_flow,annual,0.0,-99.82
2015,2015,48,BHR,Bahrain,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,402596302.919,,402596302.92,False,-7343472.900000036,2010,un_comtrade,trade_flow,annual,0.0004,295.5
2015,2015,48,BHR,Bahrain,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,395252830.017,395252830.02,False,-7343472.900000036,2010,un_comtrade,trade_flow,annual,0.0004,34309.19
2015,2015,50,BGD,Bangladesh,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,72456540.0,,72456540.0,False,-64717480.0,2010,un_comtrade,trade_flow,annual,0.0001,-95.24
2015,2015,50,BGD,Bangladesh,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,7739060.0,7739060.0,False,-64717480.0,2010,un_comtrade,trade_flow,annual,0.0,27.96
2015,2015,51,ARM,Armenia,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,521609.0,,521609.0,False,365872415.0,2010,un_comtrade,trade_flow,annual,0.0,-99.41
2015,2015,51,ARM,Armenia,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,366394024.0,366394024.0,False,365872415.0,2010,un_comtrade,trade_flow,annual,0.0004,188201.88
2015,2015,52,BRB,Barbados,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,329755.0,,329755.0,False,-329667.0,2010,un_comtrade,trade_flow,annual,0.0,-97.95
2015,2015,52,BRB,Barbados,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,88.0,88.0,False,-329667.0,2010,un_comtrade,trade_flow,annual,0.0,-99.33
2015,2015,56,BEL,Belgium,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,1428424852.868,0.0,1428424852.87,False,-1213192144.6999998,2010,un_comtrade,trade_flow,annual,0.0014,-19.15
2015,2015,56,BEL,Belgium,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,0.0,215232708.171,215232708.17,False,-1213192144.6999998,2010,un_comtrade,trade_flow,annual,0.0002,-55.88
2015,2015,60,BMU,Bermuda,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,1396.0,,1396.0,False,-1396.0,2010,un_comtrade,trade_flow,annual,0.0,-99.89
2015,2015,68,BOL,Bolivia (Plurinational State of),M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,24109.05,19282.54,24109.05,False,1685653264.7,2010,un_comtrade,trade_flow,annual,0.0,-99.94
2015,2015,68,BOL,Bolivia (Plurinational State of),X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,1685677373.75,1685677373.75,False,1685653264.7,2010,un_comtrade,trade_flow,annual,0.0017,1132.83
2015,2015,70,BIH,Bosnia Herzegovina,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,7125177.0,,7125177.0,False,17182829.0,2010,un_comtrade,trade_flow,annual,0.0,-94.91
2015,2015,70,BIH,Bosnia Herzegovina,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,24308006.0,24308006.0,False,17182829.0,2010,un_comtrade,trade_flow,annual,0.0,24.6
2015,2015,72,BWA,Botswana,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,116789987.033,,116789987.03,False,-63406889.910000004,2010,un_comtrade,trade_flow,annual,0.0001,-5.3
2015,2015,72,BWA,Botswana,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,,53383097.124,53383097.12,False,-63406889.910000004,2010,un_comtrade,trade_flow,annual,0.0001,10659.34
2015,2015,76,BRA,Brazil,M,Import,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,1216733666.0,1175143104.0,1216733666.0,False,15437701559.0,2010,un_comtrade,trade_flow,annual,0.0012,-28.89
2015,2015,76,BRA,Brazil,X,Export,0,W00,World,26,"Ores, slag and ash",2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,16654435225.0,16654435225.0,False,15437701559.0,2010,un_comtrade,trade_flow,annual,0.0167,190.92
